section,symbol_type,symbol,size_bytes,vma,runtime_region,lma,load_region
.text,FUNC,disconnectNext,32,0x00003FB2,?,0x00003FB2,?
.bss,OBJECT,terminateReason,1,0x200012D5,?,-,-
.bss,OBJECT,terminateAllTaskID,1,0x200012D4,?,-,-
.bss,OBJECT,pfnPeripheralCBs,4,0x200012D0,?,-,-
.bss,OBJECT,pfnPeripheralConnCBs,4,0x200012CC,?,-,-
.bss,OBJECT,slaveUpdateReq,8,0x200012BC,?,-,-
.bss,OBJECT,gapCurrentRandomAddr,6,0x200012C4,?,-,-
.text,FUNC,gapSetAdvParams,160,0x000052B4,?,0x000052B4,?
.text,FUNC,gapFreeAdvertState,30,0x00005354,?,0x00005354,?
.text,FUNC,gapPeriProcessConnEvt,170,0x00005372,?,0x00005372,?
.text,FUNC,gapWriteAdvDataStatus,132,0x0000541C,?,0x0000541C,?
.bss,OBJECT,gapAdvAppTaskID,1,0x200012E5,?,-,-
.bss,OBJECT,gapAdvTaskID,1,0x200012E4,?,-,-
.text,FUNC,gapProcessAdvertisingEvt,174,0x00005588,?,0x00005588,?
.bss,OBJECT,pGapAdData,4,0x200012E0,?,-,-
.bss,OBJECT,pGapScanRspData,4,0x200012DC,?,-,-
.bss,OBJECT,gapPeripheralConnCBs,4,0x200012D8,?,-,-
.bss,OBJECT,gapPeripheralCBs,12,0x20002310,?,-,-
.text,FUNC,gapPeriProcessHCICmdCompleteEvt,324,0x000058B8,?,0x000058B8,?
.text,FUNC,gattProcessExchangeMTUReq,4,0x00005F10,?,0x00005F10,?
.text,FUNC,gattServApp_FindCharCfgItem,34,0x00005F14,?,0x00005F14,?
.text,FUNC,gattServerHandleTimerCB,48,0x00005F36,?,0x00005F36,?
.text,FUNC,GATTServApp_InitCharCfg.part.0,26,0x00005F66,?,0x00005F66,?
.text,FUNC,gattProcessExecuteWriteReq,4,0x00005F80,?,0x00005F80,?
.data,OBJECT,serviceChangedCharProps,1,0x20001199,?,0x000165B5,?
